Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,CALC,NObeyesdad,Gender_Female,Gender_Male,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking,TUE_Target,Basal Metabolic Rate,BMI
21.0,1.62,64.0,1,0,2.0,3.0,1,0,2.0,0,0.0,0,1,1,0,0,0,0,1,0,1,1173.616,24.38652644413961
21.0,1.52,56.0,1,0,3.0,3.0,1,1,3.0,1,3.0,1,1,1,0,0,0,0,1,0,0,1096.636,24.238227146814403
23.0,1.8,77.0,1,0,2.0,3.0,1,0,2.0,0,2.0,2,1,0,1,0,0,0,1,0,1,973.4999999999999,23.76543209876543
27.0,1.8,87.0,0,0,3.0,3.0,1,0,2.0,0,2.0,2,2,0,1,0,0,0,0,1,0,1083.3,26.85185185185185
22.0,1.78,89.8,0,0,2.0,1.0,1,0,2.0,0,0.0,1,3,0,1,0,0,0,1,0,0,1155.5600000000002,28.34238101249842
29.0,1.62,53.0,0,1,2.0,3.0,1,0,2.0,0,0.0,1,1,0,1,1,0,0,0,0,0,603.0,20.195092211553114
23.0,1.5,55.0,1,1,3.0,3.0,1,0,2.0,0,1.0,1,1,1,0,0,0,1,0,0,0,1077.6000000000001,24.444444444444443
22.0,1.64,53.0,0,0,2.0,3.0,1,0,2.0,0,3.0,1,1,0,1,0,0,0,1,0,0,650.6999999999999,19.705532421177875
24.0,1.78,64.0,1,1,3.0,3.0,1,0,2.0,0,1.0,2,1,0,1,0,0,0,1,0,1,788.5,20.199469763918696
22.0,1.72,68.0,1,1,2.0,3.0,1,0,2.0,0,1.0,0,1,0,1,0,0,0,1,0,1,856.5999999999999,22.985397512168742
26.0,1.85,105.0,1,1,3.0,3.0,2,0,3.0,0,2.0,1,4,0,1,0,0,0,1,0,2,1336.95,30.67932797662527
21.0,1.72,80.0,1,1,2.0,3.0,2,0,2.0,1,2.0,1,3,1,0,0,0,0,1,0,1,1327.396,27.041644131963228
22.0,1.65,56.0,0,0,3.0,3.0,1,0,3.0,0,2.0,1,1,0,1,0,0,0,1,0,0,691.8499999999999,20.569329660238754
41.0,1.8,99.0,0,1,2.0,3.0,1,0,2.0,0,2.0,2,4,0,1,1,0,0,0,0,1,1152.5,30.555555555555554
23.0,1.77,60.0,1,1,3.0,1.0,1,0,1.0,0,1.0,1,1,0,1,0,0,0,1,0,1,740.45,19.15158479364167
22.0,1.7,66.0,1,0,3.0,3.0,3,0,2.0,1,2.0,1,1,1,0,0,0,0,1,0,1,1188.2599999999998,22.837370242214536
27.0,1.93,102.0,1,1,2.0,1.0,1,0,1.0,0,1.0,1,3,0,1,0,0,0,1,0,0,1289.45,27.383285457327716
29.0,1.53,78.0,0,1,2.0,1.0,1,0,2.0,0,0.0,0,4,1,0,1,0,0,0,0,0,1270.254,33.320517749583495
30.0,1.71,82.0,1,1,3.0,4.0,2,1,1.0,0,0.0,0,3,1,0,1,0,0,0,0,0,1304.2779999999998,28.042816593139772
23.0,1.65,70.0,1,0,2.0,1.0,1,0,2.0,0,0.0,1,2,1,0,0,0,0,1,0,0,1221.8700000000001,25.71166207529844
22.0,1.65,80.0,1,0,2.0,3.0,1,0,2.0,0,3.0,0,3,0,1,0,0,0,0,1,2,1020.65,29.384756657483933
52.0,1.69,87.0,1,1,3.0,1.0,1,1,2.0,0,0.0,0,4,1,0,1,0,0,0,0,0,1248.8419999999996,30.461118308182492
22.0,1.65,60.0,1,1,3.0,3.0,1,0,2.0,0,1.0,1,1,1,0,1,0,0,0,0,0,1130.57,22.03856749311295
22.0,1.6,82.0,1,1,1.0,1.0,1,0,2.0,0,0.0,1,4,1,0,0,0,0,1,0,2,1341.6799999999998,32.03124999999999
21.0,1.85,68.0,1,1,2.0,3.0,1,0,2.0,0,0.0,1,1,0,1,0,0,0,1,0,1,864.05,19.86851716581446
20.0,1.6,50.0,1,0,2.0,4.0,2,1,2.0,0,3.0,0,1,0,1,0,0,0,1,0,2,623.0,19.531249999999996
21.0,1.7,65.0,1,1,2.0,1.0,2,0,2.0,0,1.0,3,1,0,1,0,0,0,0,1,2,822.2,22.49134948096886
23.0,1.6,52.0,0,1,2.0,4.0,2,0,2.0,0,2.0,1,1,1,0,1,0,0,0,0,1,1048.9800000000002,20.312499999999996
19.0,1.75,76.0,1,1,3.0,3.0,1,0,2.0,1,3.0,1,1,0,1,0,0,0,1,0,1,986.75,24.816326530612244
23.0,1.68,70.0,0,1,2.0,3.0,1,0,2.0,0,2.0,2,1,0,1,0,0,0,0,1,2,877.0000000000001,24.801587301587304
29.0,1.77,83.0,0,1,1.0,4.0,2,0,3.0,0,0.0,0,2,0,1,0,0,1,0,0,1,1014.7499999999998,26.493025631204315
31.0,1.58,68.0,1,0,2.0,1.0,1,0,1.0,0,1.0,1,3,1,0,0,0,0,1,0,0,1164.944,27.239224483255885
24.0,1.77,76.0,0,0,2.0,3.0,1,0,3.0,0,1.0,1,1,1,0,0,0,0,0,1,1,1274.9859999999999,24.258674071946118
39.0,1.79,90.0,0,0,2.0,1.0,1,0,2.0,0,0.0,1,3,0,1,0,0,0,1,0,0,1042.75,28.089010954714272
22.0,1.65,62.0,0,1,2.0,4.0,2,0,2.0,0,2.0,1,1,0,1,0,0,0,1,0,0,774.05,22.77318640955005
21.0,1.5,65.0,1,0,2.0,3.0,1,0,2.0,0,2.0,1,3,1,0,0,0,0,1,0,2,1183.0,28.88888888888889
22.0,1.56,49.0,0,1,2.0,3.0,1,0,1.0,1,2.0,0,1,1,0,0,0,0,0,1,0,1024.808,20.134779750164363
21.0,1.6,48.0,0,1,2.0,3.0,1,0,1.0,0,1.0,1,1,1,0,0,0,0,1,0,0,1019.98,18.749999999999996
23.0,1.65,67.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1,1,0,1,0,0,0,1,0,1,835.75,24.609733700642796
21.0,1.75,88.0,1,1,2.0,3.0,1,0,3.0,0,3.0,1,3,1,0,0,0,0,1,0,0,1404.25,28.73469387755102
21.0,1.67,75.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1,2,1,0,0,0,0,1,0,0,1279.306,26.89232313815483
23.0,1.68,60.0,0,0,2.0,4.0,2,0,2.0,0,0.0,0,1,0,1,0,0,0,0,1,0,740.0,21.258503401360546
21.0,1.66,64.0,1,1,1.0,3.0,1,0,1.0,0,0.0,0,1,1,0,0,0,0,1,0,0,1173.688,23.225431847873423
21.0,1.66,62.0,1,1,2.0,3.0,1,1,2.0,0,1.0,2,1,0,1,0,0,0,1,0,1,780.9,22.49963710262738
21.0,1.81,80.0,0,0,1.0,3.0,0,0,2.0,0,2.0,0,1,0,1,0,0,0,1,0,0,1028.25,24.41927902078691
21.0,1.53,65.0,1,0,2.0,3.0,1,0,1.0,0,0.0,0,3,1,0,0,0,0,1,0,1,1183.0539999999999,27.76709812465291
21.0,1.82,72.0,1,1,1.0,3.0,2,0,3.0,0,2.0,1,1,0,1,0,0,0,1,0,0,918.7,21.736505252988767
21.0,1.75,72.0,1,1,1.0,3.0,2,0,3.0,0,2.0,1,1,0,1,0,0,0,1,0,0,918.3500000000001,23.510204081632654
